Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
4.3;ZAC de l'Hers Synthétique football;8 Rue Claudius Rougenet;Terrain;Football 11et 7;synthétique;105x60;oui;oui;4+1;;oui;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;bi-cross;;;;;;;;;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;Skate-Park;;;;;;;;;;;;;;O;N
4.3;Grande Plaine pelouse Football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;2+4;;;;;;C;1997;N;N
4.3;Grande Plaine Stabilisé football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Stabilisé;100x59;oui;oui;;;;;;;;;N;N
4.3;Sergent Vigné pelouse football;22 Rue de Lille;Terrain;Football 11 et 7;;98x66;oui;;1+2;;;;;oui;5;1995;O;N
5.1;Anatole France gymnase;21 Boulevard de la Méditerranée;Gymnase;Basket (1), Badmington;;30 x 17 x 4;;;2;2;;68 personnes;;;5ème;;O;N
5.1;Guillaumet;30 Chemin Bitet;Plateau multisports extérieur;Basket, Handball, Football;;;;;;;;;;;;;O;N
5.1;Guillaumet gymnase;30 Chemin Bitet;Gymnase;Volley (1), Gymnastique, Escalade;;25.6 x 10.8 x 6.2;;;1;2;8 individuelle;2710 personnes;;;4ème;;O;N
5.1;Guillaumet pelouse football;30 Chemin Bitet;Terrain;Football à 11 et 7;Gazon;;;;;;;;;;;;O;N
5.1;Montaudran pelouse Football;3 Impasse Gaston Génin;Terrain;Football 11 et 7;Gazon;100X60;oui;oui;1+2;;;;;;C;1998;O;N
5.1;Ribaute pelouse Football;Chemin de ribaute;Terrain;Football;Gazon;;;;;;;;;;;;O;N
5.1;Ribaute pelouse Rugby;Chemin de ribaute;Terrain;Rugby;Gazon;;;;;;;;;;;;O;N
5.1;Struxiano;113 Avenue de Lespinet;Plateau multisports extérieur;Basket (2), Handball (2), Volley (3), Saut, Lancer, Piste 100 m;;;;;;;;;;;;;O;N
5.1;Struxiano pelouse Football;113 Avenue de Lespinet;Terrain;Football;Gazon;110x66;;oui;2+4;;;;;oui;;;O;N
5.1;Struxiano pelouse Rugby;113 Avenue de Lespinet;Terrain;Rugby;Gazon;100x60;oui;oui;;;;;;oui;;;O;N
5.1;Struxiano Synthétique Football;113 Avenue de Lespinet;Terrain;Football 11 et 7;Synthéthique;100x66;oui;oui;2+6;;;;900;oui;C5;2006;O;N
5.1;Struxiano tennis;113 Avenue de Lespinet;Tennis;;;;;;;;;;;;;;O;N
5.1;De Nadaï Jean;rue émile Lécrivain;Boulodrome;;;;;;;oui;;;;oui;;;O;N
5.1;Emilien Colombies;impasse Trutat;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.1;La Butte;rue des Chardons;Boulodrome;;;;;;;;;;;;;;O;N
5.1;La Terrasse foot à 7;Impasse Schrader;Terrain;Football à 7 mini Basket (1), skate;Herbe, Ciment;;;;;;;;;;;;O;N
5.1;Laffont Emile;258 avenue Jean Rieux;Boulodrome;;;;;;;;;;;;;;O;N
5.1;Parc Alalouf;Av Saint Exupéry;Plateau multisports extérieur;Basket;;;;;;;;;;;;;O;N
5.1;Pont des Demoiselles;place Roger Arnaud;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.2;Pech David pelouse football 1;82 Chemin des cotes de Pech David;Terrain;Football 11;Gazon;100X60;oui;oui;6+2;;;;;;;;O;N
5.2;Pech David pelouse rugby 1;82 Chemin des cotes de Pech David;Terrain;Rugby;Gazon;102X70;oui;oui;6+2;;;;;;;;O;N
5.2;Robert Barran Stade;82 Chemin des cotes de Pech David;Terrain;Football 11;Gazon;100x66;oui;oui;6+2;;;;376;;B;2007;O;N
5.2;Bellevue patinoire;86 Chemin de la salade Ponsan;Patinoire;;;;;;;;;;;;;;O;O
5.2;Bellevue piscine;86 Chemin de la salade Ponsan;Piscine ;;;2 x 25 m + 12,3 m + 10,70 m;;;;;;;;;;;O;O
5.2;Bellevue salle d'activité 1er ét;86 chemin de la Salade Ponsan;Salle;Danse, tennis de table;;23.50 x 9.50;;;;;;;;;;;O;O
5.2;Bellevue tennis;86 Chemin de la salade Ponsan;Tennis ;Tennis;greenset;;;;;;;;;;;;O;O
5.2;Moulin Jean;7 Avenue des écoles J. Julien;Plateau multisports extérieur;Basket 4, Handball 2, Piste 250 m, lancer (1), saut (2);;;;;;;;;;;;;O;N
5.2;Moulin Jean gymnase;7 Avenue des écoles J. Julien;Gymnase;Basket (1), mini basket (4) , Volley (1), Badmington (1), Tennis, Escalade;;30 x 20 x 8;;;;;;150 personnes;;;5ème;;O;N
5.2;Pech David Piscine (Eté, Hiver);82 Chemin des cotes de Pech David;Piscine ;Aquagym, Plongée, Loisirs;;25 m;;;;;;;;;;;O;O
5.2;M. Sardaing;Chemin de Narrade;Boulodrome;;;;oui;;;;;;;;;;O;N
5.2;Pouvourville;4 Impasse de Sarrangines;City-Stade;Hand(1), mini Basket(1), Volley(1), football;Synthétique;;;;;;;;;;;;N;N
5.2;Pouvourville Foot à 7 Synthétique;4 Impasse de Sarrangines;Terrain;Football à 7;Synthétique;65*45;oui;oui;4+1;;;;;;;;O;N
5.2;Pouvourville Football Honneur;4 Impasse de Sarrangines;Terrain;Football à 11;Gazon;100X63;oui;oui;1+4;;;;;oui;;;O;N
5.2;Rangueil;62 Rue de Nimes;Boulodrome;;;;oui;;;;;;;;;;O;N
5.2;Rangueil (COSEC) gymnase;27 Chemin du canal;Salle;Gymnastique;;40 X 20 X 8;;;4;;;100 personnes ;;;3ème;;O;N
5.2;Rangueil (COSEC) salle d'activité 1er ét;27 Chemin du canal;Salle;Gymnastique;;20 x 15 x 8;;;;;;38 personnes;;;3ème;;O;N
5.2;Rangueil (COSEC) salle d'activité rdc;27 Chemin du canal;Salle;Gymnastique, Boxe;;20 x 16 x 6;;;;;;47 personnes;;;3ème;;O;N
5.2;Rangueil Foot à 5;62 Rue de Nimes;Terrain;Football à 5;synthétique;;non;;;;;;;;;;N;N
5.2;Rangueil pelouse Football;62 Rue de Nimes;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;1+2;;;;;;;;O;N
5.2;Rangueil skate park;27 Chemin du Canal;Skate-park;;;;;;;;;;;;;;O;N
5.2;Rangueil tennis;27 Chemin du Canal;Tennis;;;;;;;;;;;;;;O;N
5.2;Sordelo pelouse Cricket;112 Chemin des coteaux de Pech David;Terrain;Cricket;Gazon;100x64;;;5+1;;;;;;;;O;N
5.2;Sordelo pelouse Football n°1;112 Chemin des coteaux de Pech David;Terrain;Football;Gazon;100X60;oui;oui;5+1;;;;;;C;1999;O;N
5.2;Sordelo pelouse Rugby n°1;112 Chemin des coteaux de Pech David;Terrain;Rugby;Gazon;100x65,5;oui;oui;5+1;;;;;;;;O;N
5.2;Sordelo Stabilisé football;112 Chemin des coteaux de Pech David;Terrain;Football 11 et 7;Stabilisé;100x78;oui;oui;5+1;;;;;;;;O;N
5.2;Viala Léon;42 avenue de Rangueil;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.2;Boule Argent R.1, R.2, R.3;27 Rue Jeanne Marvig;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.2;Roux Etienne;rue Léon Viala;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.3;Corbarrieu pelouse Rugby honneur;2 Avenue de Lattre de Tassigny;Terrain;Rugby;Gazon;120x70;oui;oui;2+6;;;;;oui;;;O;O
5.3;Corbarrieu Synthétique football;2 Avenue de Lattre de Tassigny;Terrain;Football 11 et 7;Synthéthique;105x65.5;oui;oui;2+6;;;;900;;;;O;O
5.3;Daste;29 Rue de Toulon;Plateau multisports extérieur;mini Basket (3), Football, Handball(1), Piste 100 m;;;;;;;;;;;;;O;N
5.3;Daste gymnase;29 Rue de Toulon;Gymnase;Basket (1), Volley (1), Handball (1);;21 x 12 x 5.2;;;2;;;;;;4ème;;O;N
5.3;Empalot;rue des Pélicans;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Empalot Daste Recollets;place André Daste;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Empalot Mail;rue de Menton;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Empalot Poudrerie;Rue des Goelands;City-Stade;Basket(1),Hand(1), football;Enrobé;;;;;;;;;;;;O;N
5.3;Aviron Toulousain parc des sports;Allées Ferdinand Jourdan;Base nautique;Aviron;;;;;;;;;;;;;O;O
5.3;Canoë;Chemin de la loge;Base nautique;Canoë-Kayak;;;;;;;;;;;;;O;N
5.3;Nakache Piscine;7 Allées Gabriel Biènes;Piscine ;Plongée, aquagym, scolaires, loisirs;;25 m + 15,95 m;;;;;;;;;;;N;N
5.3;Parc des Sports pelote basque;7 Allées Gabriel Biènes;Fronton;Pelote;;;;;;;;;;;;;O;N
5.3;Parc des Sports Pelouse 1 CFA;Allées Gabriel Biénes ;Terrain;Football à 11;Gazon;105X68;oui/400;oui;4+2;;;;300;oui;E3;2003;O;O
5.3;Parc des Sports Pelouse 2 Pro;Allées Gabriel Biénes;Terrain;Football à 11;Gazon;105X68;;oui;4+2;;;;;;;;O;O
5.3;Parc des Sports Pelouse Gardiens;Allées Gabriel Biénes ;Terrain;Football à 7;Gazon;105X68;;;4+2;;;;;;;;O;O
5.3;Parc des Sports Piscine Eté;3 Allées Gabriel Biènes;Piscine ;Loisirs;;150 m + 25 m ;;;;;;;;;;;O;O
5.3;Parc des sports salle agrés 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique poutre;;15.97 x 9.65 x 4.42;;;1;4;4 individuelle;38 personnes;;;4ème;;O;N
5.3;Parc des sports salle agrés RDC;7 Allée Gabriel Biénès;Gymnase;Gymnastique agrés;;24.5 x 15.95 x 7.9;;;2;2;2ind / 2 coll;96 personnes;;;5ème;;O;N
5.3;Parc des sports salle praticable 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique praticable;;15.97 x 14.58 x 4.42;;;;;;58 personnes;;;4ème;;O;N
5.3;Parc des Sports Synthétique Foot à 7 et 5;7 Allées Gabriel Biènes;Terrain;Football à 7 et à 5, mini Basket (2),Piste 206.49 m, saut, lancer.;Synthétique;;;;;;;;;;;;O;N
5.3;Parc des Sports Synthétique n°3 football;Allées Gabriel Biénes ;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;E5;2003;O;O
5.3;Parc des Sports Synthétique n°4 football;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;2003;O;O
5.3;Parc des Sports Synthétique n°5 Brice Taton;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;;O;O
5.3;Parc des Sports Tennis;7 Allées Gabriel Biènes;Tennis;Tennis, Tennis de table (4);;;;;;;;;;;;;O;O
5.3;Parc des Sports terrain sportif d'accès libre Beach Volley / Soccer;7 Allées Gabriel Biènes;Terrain sable;Beach-soccer, beach Volley (3);;;;;;;;;;;;;O;N
5.3;Parc des Sports terrain sportif d'accès libre synthétique 1 et 2;7 Allées Gabriel Biènes;City-Stade;City - stade (2);;;;;;;;;;;;;O;N
5.3;Piscine sportive Castex;3 Allées Gabriel Biènes;Piscine;Natation;; 50 m;;;;;;;;;;;O;N
5.3;Pont Garigliano basket;7 allées Gabriel Biénès;Plateau multisports extérieur;Basket (7);Enrobé;;;;;;;;;;;;O;N
5.3;Stadium;Allées Gabriel Biénes;Terrain;Football et Rugby;Gazon;105X68;oui/E1;oui;2+1;;;;35 775;oui;A;2004;O;O
5.3;Grand Rond;Allée Frédéric Mistral;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Roger Pradier piscine;46 Rue des Saules;Piscine;;; 25 m;;;;;;;;;;;O;N
;Pinel;place Pinel;Boulodrome;;;;oui;;;;;;;oui;;;O;N
;Saouzelong;92 Rue Albert Bedouce;City stade;;;;;;;;;;;;;;;
3,1;Arnauné piste athlétisme;107 Avenue Frédéric Estèbe;Piste;Piste 80 m;;;;;;;;;;;;;O;N
;Stade Arnauné ;107 Avenue Frédéric Estèbe;Terrain;Football à 11, Rugby;Gazon ;116*64;oui;oui;4+(2);oui (public);;;1723;oui;1er;;O;O
;Arnauné synthétique foot à 7;107 Avenue Frédéric Estèbe;Terrain;Football à 7;Synthétique;65 x 22;oui;;;;;;;oui;;;O;N
;Grand Gymnase des Minimes;107 Avenue Frédéric Estèbe;Gymnase;Basket (1), Mini basket (4), Volley (1), Handball (1), Badmington (4), Tennis (1);;40 x 26.20 x 9;;;2;;2 collective;259pers;105;;3 ème;;O;O
;Petit Gymnase des Minimes;107 Avenue Frédéric Estèbe;Gymnase;Basket (1) Mini basket (4), Volley (1), Badmington (3), Tennis (1);;30 x 26.20 x 9;;;2;;2 collective;195 pers;;;3 ème;;O;O
3,1;Palais de la Pétanque Claudette Dumont;42 Avenue Frédéric Estèbe;Boulodrome;;;;oui;;;oui (public);;620 pers;;oui;3 ème;;O;N
3,1;Rauzy Michel ;52 avenue des minimes;Boulodrome;;;;oui;;;oui (public);;;;oui;5 ème;;O;N
1,1;Barada gymnase;1 Rue Malbec;Salle;Gymnastique;;25 x 11.5 x 4.85;;;2;1;3 individuelle;50 pers;;;5 ème;;N;N
3,4;Bayard gymnase;150 Route de Launaguet;Gymnase;Basket (1), Volley (3), Handball (1), Badmington (4), tennis (1);;30.50 x 20.50 x 7;;;2;;2 collective;50 pers;;;;;O;N
;Bayard;150 Route de Launaguet;Plateau multisports extérieur;Basket(2), Volley(1), Handball (1), Piste 150 m;;;;;;;;;;;;;O;N
1,2;Bazacle;Impasse du Ramier des Catalans;Plateau multisports extérieur;Basket (4);Enrobé;;;;;;;;;;;;O;N
3,4;Borderouge;Place Antonin Froidure;Boulodrome;;;;oui;;;;;;;;;;O;N
3,4;Borderouge;Rue Ebelot;Plateau multisports extérieur;mini Basket(1), hanball (1);;;;;;;;;;;;;N;N
;Bourbaki;Rue du Général Hoche;City stade;;;;;;;;;;;;;;;
3,4;Complexe Sportif Borderouge salle d'activité;3 rue Hubert Monloup;Salle polyvalente;Danse;;14 x 14;;;2;2;2 collective;51 pers;;;5 ème;;O;O
;Complexe Sportif Borderouge dojo;3 rue Hubert Monloup;Dojo;Combat, Judo;;14 x 14;;;2;2;2 collective;49 pers;;;5 ème;;O;O
;Complexe Sportif Borderouge;Rue Hubert Monloup;Plateau multisports extérieur;Basket (4), Handball (1);;;;;;;;;;;;;O;N
;Entrainement Synthétique;3 rue Hubert Monloup;Terrain;Football à 11 et à 7;Synthétique;105 x 68;oui;oui;4+(2);oui (public);4 collective;;;oui;;;O;O
;Terrain Fernand Sastre ;3 rue Hubert Monloup;Terrain;Football à 11à 7,Rugby;Gazon ;105 x 68;non;oui;4+(2);oui (public);4 collective;;100;;;;O;O
3,4;Maunoury (Borderouge);Rue Bourges Maunoury;City stade;mini Basket (1), Handball (1);;;;;;;;;;;;;N;N
3,1;Bourbaki;Rue Hoche;City stade;mini Basket (2), Handball (1), Tennis de table (2), Volley (1);;;;;;;;;;;;;N;N
3,1;Boutrit Jacques;6 impasse Pierre Curie;Boulodrome;;;;oui;;;;;;;oui;;;O;N
1,3;Calvinhac gymnase;6 Rue Jacques Labatut;Dojo;Combat;;28 x 8 x 10;;;1;1;3 individuelle;;;;5 ème;;N;N
3,4;Castillo Michel;5 rue Francis Lopez;Boulodrome;;;;oui;;;;;;;oui;;;O;N
1,1;Daurade;Quai de la Daurade;Boulodrome;;;;;;;;;;;;;;;
3,4;Lapujade;26 route d'Albi;Gymnase;Basket,Judo,Gymnastique;;24x14;;;1;oui (public);4 collective;200;;;;;O;N
;Cazal Lapujade pelouse Football;20 Rue d'Avranches;Terrain;Football à 11 et à 7;Gazon ;92*59;oui;oui;4+(2);oui (public);collective;;;oui;;;O;N
;Cazal Lapujade Football Synthétique;20 Rue d'Avranches;Terrain;Football à 11 et à 7;Synthétique;97*58;oui;oui;4+(2);oui (public);collective;;;oui;;;O;N
1,2;Chapou (Eté);1 Rue Saunière;Piscine;Loisirs, Plongée;; 25 m + 10 m;;;;oui (public);individuelle;299;;;5ème;;O;O
1,2;Palais des Sports;3 rue Pierre Laplace;Gymnase;Basket (1), Volley (1), Handball (1), Tennis, Gymnastique;;40,23*20,11*19;;;4 +(2);oui (public);4 collective;2188 pers;1860;;1 ère;;O;O
;Compans Caffarelli gymnase;3 rue Pierre Laplace;Gymnase;Basket (1), Volley (1), Handball (1);;44 x 26.50 x ?;;;4 +(1);oui (public);4 collective;4772 pers;4338;;1 ère;;O;N
3,4;Croix  Daurade;5 rue Francis Lopez;Boulodrome;;;;;;;;;;;oui;;;O;N
3,1;Duchein;33 rue Fonquerne;Boulodrome;;;;oui;;;;;;;oui;;;O;N
1,1;Embarthe;Rue des queteurs;City stade;Football (2), Basket (2) Tennis de table (2);;;;;;;;;;;;;N;N
1,1;Fabre salle rdc;5 rue du Pont de Tounis;Salle rdc;Musculation;;14,70x8,50;;;2;oui;collective;31;;;5ème;;O;N
;Fabre salle 1er ét;5 rue du Pont de Tounis;Salle 1er étage;Cardio Training;;5,30x3,30;;;2;;;;;;;;O;N
3,1;Frédéric Estèbe gymnase;59 Rue du général Bourbaki;Gymnase;Basket (1), Volley (1), Badmington (1);;21 x 12.30 x 6;;;2;oui;2 collective;50 pers;;;5ème;;O;N
;Frédéric Estèbe;59 Rue du général Bourbaki;Plateau multisports extérieur;Basket (1), Handball (1), piste 60 m;;;;;;;;;;;;;O;N
3,4;Georges Ohnet gymnase;8 Rue Georges Ohnet;Gymnase;Basket (1), Volley (3), Badmington (4);;30 x 21 x 6;;;2;oui(public);2 collective;204 pers;;;;;O;N
;Georges Ohnet salle gymnastique;8 Rue Georges Ohnet;Salle;Gynastique;;21,50*7,50;;;;;;;;;;;O;N
;Georges Ohnet;Rue Georges Ohnet;Plateau multisports extérieur;Handball (2), Piste 50 m, Lancer;;;;;;;;;;;;;O;N
1,2;Héracles;Square de l' Héraclès;Boulodrome;;;;;;;;;;;;;;O;N
3,4;Izards;13 rue des Chamois;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3,2;Jean Boiteux;103 route de blagnac;Piscine;;;;;;;;;;;;;;O;N
3,3;Lalande gymnase;44 Chemin du Seminaire;Gymnase;Basket (1), Volley (1), Handball (1), Badmington (5), Mini hand (2);;40.70 x 21.20x8;;;2;;2 collective;200 pers;;;;;O;N
;Lalande;44 Chemin du Seminaire;Plateau multisports extérieur;Basket (2), Volley (2), Piste 138 m, Saut, Lancer;;;;;;;;;;;;;O;N
;Lalande pelouse Foot à 7;44 Chemin du Seminaire;Terrain;Football à 7;Gazon ;;;;;;;;;;;;O;N
;Lalande tennis;Impasse du Séminaire;Tennis;Tennis (1);;;;;;;;;;;;;O;N
;Lalande Collège pelouse foot à 7;Impasse du Séminaire;Terrain;Football;;60*40;;;;;;;;;;;O;N
3,3;Lalande cimetière;Esplanade Pierre Cornac;Boulodrome;;;;;;;;;;;;;;O;N
3,1;Le Cochonnet;Place du marché aux cochons;Boulodrome;;;;oui;;;;;;;oui;;;O;N
1,3;Léo Lagrange gymnase (BAT A) entresol;54 Rue des Sept Troubadours;Gymnase;Basket (1), Volley (1), Handball (1);;24.73 x 44.6 x 12;;;4;4;4 ind, 2 coll;800pers;786;;;;N;N
;Léo Lagrange salle boxe anglaise (BAT C) 1er étage;54 Rue des Sept Troubadours;Salle;Combat;;14.58 x 22.58 x 3.97;;;1;2;2 individuelle;500pers;;;;;N;N
;Léo Lagrange piscine (Hiver) BAT B;Place Pierre Paul Riquet;Piscine ;Aquagym, plongée, loisirs, water-polo;;50 m et 21 m;;;;;;;;;;;N;N
;Léo Lagrange salle boxe 1er étage BAT C;54 Rue des Sept Troubadours;Salle;Combat;;12.17 x 10.35 x 3.97;;;2;4;2 individuelle;20pers;;;;;N;N
;Léo Lagrange salle de danse 3ème étage BAT C;54 Rue des Sept Troubadours;Salle;Danse;;15.6 x 14.34 x 2.89;;;4;;;30pers;;;;;N;N
;Léo Lagrange salle de lutte 3ème étage BAT C;54 Rue des Sept Troubadours;Salle;Combat;;17.32 x 12.42 x 3.86;;;2;4;2 individuelle;35pers;;;;;N;N
;Léo Lagrange gymnase 4ème étage BAT C;54 Rue des Sept Troubadours;Gymnase;Volley (1), Badmington (4), basket (2);;33 x 14.68 x 7.9;;;3;4;2 individuelle;35pers;;;;;N;N
3,1;Négreneys;Rue de Tunis;Plateau multisports extérieur;Basket (1), Handball (1), Volley (1);;;;;;;;;;;;;N;N
3,3;Paleficat;Chemin de Paléficat;Boulodrome;;;;oui;;;;;;;oui;;;0;0
3,3;Paul Riché;Place Paul Riché;Boulodrome;;;;oui;;;;;;;;;;O;N
3,1;Pierre et Marie Curie gymnase;Rue de la Jeunesse;Gymnase;Basket (1), Volley (1), torrball;;21 x 12.5 x 5.4;;;1;oui;1 collective;252pers;;;5ème;;O;N
;Pierre et Marie Curie;Rue de la Jeunesse;Plateau multisports extérieur;Handball (1);;;;;;;;;;;;;O;N
3,2;Ponts Jumeaux skate park;31 Rue des Sports;Skate-Park;;;;;;;;;;;;;;O;N
;Ponts Jumeaux stabilisé foot à 7;32 Rue des Sports;Terrain;football;stabilisé;;;;;;;;;;;;;
